date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days,prev_closing_stock,expected_closing_stock,stock_balance_valid,stock_balance_difference,stock_balance_clipped,units_sold_original,units_sold_source,history_days,sku_status,limited_history,closing_stock_missing,lead_time_missing,stockout,lead_time_inconsistent
2026-01-16,SKU-1000,Snacks,137.0,0,1206.0,7,1343.0,1206.0,True,0.0,False,137.0,observed,180,established,False,False,False,False,False
2026-01-17,SKU-1000,Snacks,78.0,0,1128.0,7,1206.0,1128.0,True,0.0,False,78.0,observed,180,established,False,False,False,False,False
2026-01-18,SKU-1000,Snacks,122.0,0,1006.0,7,1128.0,1006.0,True,0.0,False,122.0,observed,180,established,False,False,False,False,False
2026-01-19,SKU-1000,Snacks,71.0,0,935.0,7,1006.0,935.0,True,0.0,False,71.0,observed,180,established,False,False,False,False,False
2026-01-20,SKU-1000,Snacks,105.0,0,830.0,7,935.0,830.0,True,0.0,False,105.0,observed,180,established,False,False,False,False,False
2026-01-21,SKU-1000,Snacks,122.0,0,708.0,7,830.0,708.0,True,0.0,False,122.0,observed,180,established,False,False,False,False,False
2026-01-22,SKU-1000,Snacks,82.0,0,626.0,7,708.0,626.0,True,0.0,False,82.0,observed,180,established,False,False,False,False,False
2026-01-23,SKU-1000,Snacks,112.0,0,514.0,7,626.0,514.0,True,0.0,False,112.0,observed,180,established,False,False,False,False,False
2026-01-24,SKU-1000,Snacks,124.0,0,390.0,7,514.0,390.0,True,0.0,False,124.0,observed,180,established,False,False,False,False,False
2026-01-25,SKU-1000,Snacks,83.0,1000,1307.0,7,390.0,1307.0,True,0.0,False,83.0,observed,180,established,False,False,False,False,False
2026-01-26,SKU-1000,Snacks,181.0,0,1126.0,7,1307.0,1126.0,True,0.0,False,181.0,observed,180,established,False,False,False,False,False
2026-01-27,SKU-1000,Snacks,116.0,0,1010.0,7,1126.0,1010.0,True,0.0,False,116.0,observed,180,established,False,False,False,False,False
2026-01-28,SKU-1000,Snacks,79.0,0,931.0,7,1010.0,931.0,True,0.0,False,79.0,observed,180,established,False,False,False,False,False
2026-01-29,SKU-1000,Snacks,97.0,0,834.0,7,931.0,834.0,True,0.0,False,97.0,observed,180,established,False,False,False,False,False
2026-01-30,SKU-1000,Snacks,90.0,0,744.0,7,834.0,744.0,True,0.0,False,90.0,observed,180,established,False,False,False,False,False
2026-01-31,SKU-1000,Snacks,122.0,0,622.0,7,744.0,622.0,True,0.0,False,122.0,observed,180,established,False,False,False,False,False
2026-02-01,SKU-1000,Snacks,76.0,0,546.0,7,622.0,546.0,True,0.0,False,76.0,observed,180,established,False,False,False,False,False
2026-02-02,SKU-1000,Snacks,106.0,0,440.0,7,546.0,440.0,True,0.0,False,106.0,observed,180,established,False,False,False,False,False
2026-02-03,SKU-1000,Snacks,106.0,0,334.0,7,440.0,334.0,True,0.0,False,106.0,observed,180,established,False,False,False,False,False
2026-02-04,SKU-1000,Snacks,108.0,0,226.0,7,334.0,226.0,True,0.0,False,108.0,observed,180,established,False,False,False,False,False
2026-02-05,SKU-1000,Snacks,92.0,0,134.0,7,226.0,134.0,True,0.0,False,92.0,observed,180,established,False,False,False,False,False
2026-02-06,SKU-1000,Snacks,93.0,0,41.0,7,134.0,41.0,True,0.0,False,93.0,observed,180,established,False,False,False,False,False
2026-02-07,SKU-1000,Snacks,111.0,0,0.0,7,41.0,-70.0,False,-70.0,True,111.0,observed,180,established,False,False,False,True,False
2026-02-08,SKU-1000,Snacks,89.0,0,0.0,7,0.0,-89.0,False,-89.0,True,89.0,observed,180,established,False,False,False,True,False
2026-02-09,SKU-1000,Snacks,137.0,0,0.0,7,0.0,-137.0,False,-137.0,True,137.0,observed,180,established,False,False,False,True,False
2026-02-10,SKU-1000,Snacks,89.0,822,733.0,7,0.0,733.0,True,0.0,False,89.0,observed,180,established,False,False,False,False,False
2026-02-11,SKU-1000,Snacks,133.0,1132,1732.0,7,733.0,1732.0,True,0.0,False,133.0,observed,180,established,False,False,False,False,False
2026-02-12,SKU-1000,Snacks,112.0,0,1620.0,7,1732.0,1620.0,True,0.0,False,112.0,observed,180,established,False,False,False,False,False
2026-02-13,SKU-1000,Snacks,118.0,0,1502.0,7,1620.0,1502.0,True,0.0,False,118.0,observed,180,established,False,False,False,False,False
2026-02-14,SKU-1000,Snacks,104.0,0,,7,1502.0,1398.0,False,,False,104.0,observed,180,established,False,True,False,False,False
2026-02-15,SKU-1000,Snacks,105.0,0,1293.0,7,,,False,,False,105.0,observed,180,established,False,False,False,False,False
2026-02-16,SKU-1000,Snacks,125.0,0,1168.0,7,1293.0,1168.0,True,0.0,False,125.0,observed,180,established,False,False,False,False,False
2026-02-17,SKU-1000,Snacks,143.0,0,1025.0,7,1168.0,1025.0,True,0.0,False,143.0,observed,180,established,False,False,False,False,False
2026-02-18,SKU-1000,Snacks,86.0,0,939.0,7,1025.0,939.0,True,0.0,False,86.0,observed,180,established,False,False,False,False,False
2026-02-19,SKU-1000,Snacks,81.0,0,858.0,7,939.0,858.0,True,0.0,False,81.0,observed,180,established,False,False,False,False,False
2026-02-20,SKU-1000,Snacks,105.0,0,753.0,7,858.0,753.0,True,0.0,False,105.0,observed,180,established,False,False,False,False,False
2026-02-21,SKU-1000,Snacks,92.0,0,661.0,7,753.0,661.0,True,0.0,False,92.0,observed,180,established,False,False,False,False,False
2026-02-22,SKU-1000,Snacks,113.0,978,1526.0,7,661.0,1526.0,True,0.0,False,113.0,observed,180,established,False,False,False,False,False
2026-02-23,SKU-1000,Snacks,58.0,0,1468.0,7,1526.0,1468.0,True,0.0,False,58.0,observed,180,established,False,False,False,False,False
2026-02-24,SKU-1000,Snacks,109.0,0,1359.0,7,1468.0,1359.0,True,0.0,False,109.0,observed,180,established,False,False,False,False,False
2026-02-25,SKU-1000,Snacks,139.0,0,1220.0,7,1359.0,1220.0,True,0.0,False,139.0,observed,180,established,False,False,False,False,False
2026-02-26,SKU-1000,Snacks,110.0,0,1110.0,7,1220.0,1110.0,True,0.0,False,110.0,observed,180,established,False,False,False,False,False
2026-02-27,SKU-1000,Snacks,64.0,0,1046.0,7,1110.0,1046.0,True,0.0,False,64.0,observed,180,established,False,False,False,False,False
2026-02-28,SKU-1000,Snacks,57.0,0,989.0,7,1046.0,989.0,True,0.0,False,57.0,observed,180,established,False,False,False,False,False
2026-03-01,SKU-1000,Snacks,97.0,0,892.0,7,989.0,892.0,True,0.0,False,97.0,observed,180,established,False,False,False,False,False
2026-03-02,SKU-1000,Snacks,164.0,0,728.0,7,892.0,,False,,False,,stock_balance_reconstructed,180,established,False,False,False,False,False
2026-03-03,SKU-1000,Snacks,156.0,939,1511.0,7,728.0,1511.0,True,0.0,False,156.0,observed,180,established,False,False,False,False,False
2026-03-04,SKU-1000,Snacks,76.0,0,1435.0,7,1511.0,1435.0,True,0.0,False,76.0,observed,180,established,False,False,False,False,False
2026-03-05,SKU-1000,Snacks,66.0,0,1369.0,7,1435.0,1369.0,True,0.0,False,66.0,observed,180,established,False,False,False,False,False
2026-03-06,SKU-1000,Snacks,75.0,0,1294.0,7,1369.0,1294.0,True,0.0,False,75.0,observed,180,established,False,False,False,False,False
2026-03-07,SKU-1000,Snacks,136.0,0,1158.0,7,1294.0,1158.0,True,0.0,False,136.0,observed,180,established,False,False,False,False,False
2026-03-08,SKU-1000,Snacks,113.0,0,1045.0,7,1158.0,1045.0,True,0.0,False,113.0,observed,180,established,False,False,False,False,False
2026-03-09,SKU-1000,Snacks,89.0,0,956.0,7,1045.0,956.0,True,0.0,False,89.0,observed,180,established,False,False,False,False,False
2026-03-10,SKU-1000,Snacks,197.0,0,759.0,7,956.0,759.0,True,0.0,False,197.0,observed,180,established,False,False,False,False,False
2026-03-11,SKU-1000,Snacks,120.0,0,639.0,7,759.0,639.0,True,0.0,False,120.0,observed,180,established,False,False,False,False,False
2026-03-12,SKU-1000,Snacks,113.0,0,,7,639.0,526.0,False,,False,113.0,observed,180,established,False,True,False,False,False
2026-03-13,SKU-1000,Snacks,95.0,0,431.0,7,,,False,,False,95.0,observed,180,established,False,False,False,False,False
2026-03-14,SKU-1000,Snacks,91.0,0,340.0,7,431.0,340.0,True,0.0,False,91.0,observed,180,established,False,False,False,False,False
2026-03-15,SKU-1000,Snacks,118.0,1120,1342.0,7,340.0,1342.0,True,0.0,False,118.0,observed,180,established,False,False,False,False,False
2026-03-16,SKU-1000,Snacks,140.0,0,1202.0,7,1342.0,1202.0,True,0.0,False,140.0,observed,180,established,False,False,False,False,False
2026-03-17,SKU-1000,Snacks,109.0,0,1093.0,7,1202.0,1093.0,True,0.0,False,109.0,observed,180,established,False,False,False,False,False
2026-03-18,SKU-1000,Snacks,77.0,0,1016.0,7,1093.0,1016.0,True,0.0,False,77.0,observed,180,established,False,False,False,False,False
2026-03-19,SKU-1000,Snacks,56.0,0,960.0,7,1016.0,960.0,True,0.0,False,56.0,observed,180,established,False,False,False,False,False
2026-03-20,SKU-1000,Snacks,151.0,0,809.0,7,960.0,809.0,True,0.0,False,151.0,observed,180,established,False,False,False,False,False
2026-03-21,SKU-1000,Snacks,85.0,0,724.0,7,809.0,724.0,True,0.0,False,85.0,observed,180,established,False,False,False,False,False
2026-03-22,SKU-1000,Snacks,108.0,0,616.0,7,724.0,616.0,True,0.0,False,108.0,observed,180,established,False,False,False,False,False
2026-03-23,SKU-1000,Snacks,123.0,0,493.0,7,616.0,493.0,True,0.0,False,123.0,observed,180,established,False,False,False,False,False
2026-03-24,SKU-1000,Snacks,94.0,0,399.0,7,493.0,399.0,True,0.0,False,94.0,observed,180,established,False,False,False,False,False
2026-03-25,SKU-1000,Snacks,107.0,0,292.0,7,399.0,292.0,True,0.0,False,107.0,observed,180,established,False,False,False,False,False
2026-03-26,SKU-1000,Snacks,96.0,1114,1310.0,7,292.0,1310.0,True,0.0,False,96.0,observed,180,established,False,False,False,False,False
2026-03-27,SKU-1000,Snacks,134.0,0,1176.0,7,1310.0,1176.0,True,0.0,False,134.0,observed,180,established,False,False,False,False,False
2026-03-28,SKU-1000,Snacks,182.0,0,994.0,7,1176.0,994.0,True,0.0,False,182.0,observed,180,established,False,False,False,False,False
2026-03-29,SKU-1000,Snacks,105.0,0,889.0,7,994.0,889.0,True,0.0,False,105.0,observed,180,established,False,False,False,False,False
2026-03-30,SKU-1000,Snacks,117.0,0,772.0,7,889.0,772.0,True,0.0,False,117.0,observed,180,established,False,False,False,False,False
2026-03-31,SKU-1000,Snacks,139.0,0,633.0,7,772.0,633.0,True,0.0,False,139.0,observed,180,established,False,False,False,False,False
2026-04-01,SKU-1000,Snacks,128.0,0,505.0,7,633.0,505.0,True,0.0,False,128.0,observed,180,established,False,False,False,False,False
2026-04-02,SKU-1000,Snacks,124.0,898,1279.0,7,505.0,1279.0,True,0.0,False,124.0,observed,180,established,False,False,False,False,False
2026-04-03,SKU-1000,Snacks,108.0,0,1171.0,7,1279.0,1171.0,True,0.0,False,108.0,observed,180,established,False,False,False,False,False
2026-04-04,SKU-1000,Snacks,91.0,0,1080.0,7,1171.0,1080.0,True,0.0,False,91.0,observed,180,established,False,False,False,False,False
2026-04-05,SKU-1000,Snacks,72.0,0,,7,1080.0,1008.0,False,,False,72.0,observed,180,established,False,True,False,False,False
2026-04-06,SKU-1000,Snacks,86.0,0,922.0,7,,,False,,False,86.0,observed,180,established,False,False,False,False,False
2026-04-07,SKU-1000,Snacks,111.0,0,811.0,7,922.0,,False,,False,,stock_balance_reconstructed,180,established,False,False,False,False,False
2026-04-08,SKU-1000,Snacks,100.0,0,711.0,7,811.0,711.0,True,0.0,False,100.0,observed,180,established,False,False,False,False,False
2026-04-09,SKU-1000,Snacks,155.0,0,556.0,7,711.0,556.0,True,0.0,False,155.0,observed,180,established,False,False,False,False,False
2026-04-10,SKU-1000,Snacks,119.0,1012,1449.0,7,556.0,1449.0,True,0.0,False,119.0,observed,180,established,False,False,False,False,False
2026-04-11,SKU-1000,Snacks,80.0,0,1369.0,7,1449.0,1369.0,True,0.0,False,80.0,observed,180,established,False,False,False,False,False
2026-04-12,SKU-1000,Snacks,123.0,0,1246.0,7,1369.0,1246.0,True,0.0,False,123.0,observed,180,established,False,False,False,False,False
2026-04-13,SKU-1000,Snacks,92.0,0,1154.0,7,1246.0,1154.0,True,0.0,False,92.0,observed,180,established,False,False,False,False,False
2026-04-14,SKU-1000,Snacks,105.0,0,1049.0,7,1154.0,1049.0,True,0.0,False,105.0,observed,180,established,False,False,False,False,False
2026-04-15,SKU-1000,Snacks,117.0,0,932.0,7,1049.0,932.0,True,0.0,False,117.0,observed,180,established,False,False,False,False,False
2026-04-16,SKU-1000,Snacks,118.0,0,814.0,7,932.0,814.0,True,0.0,False,118.0,observed,180,established,False,False,False,False,False
2026-04-17,SKU-1000,Snacks,135.0,0,679.0,7,814.0,679.0,True,0.0,False,135.0,observed,180,established,False,False,False,False,False
2026-04-18,SKU-1000,Snacks,156.0,0,523.0,7,679.0,523.0,True,0.0,False,156.0,observed,180,established,False,False,False,False,False
2026-04-19,SKU-1000,Snacks,149.0,0,374.0,7,523.0,374.0,True,0.0,False,149.0,observed,180,established,False,False,False,False,False
2026-04-20,SKU-1000,Snacks,119.0,0,255.0,7,374.0,255.0,True,0.0,False,119.0,observed,180,established,False,False,False,False,False
2026-04-21,SKU-1000,Snacks,99.0,0,156.0,7,255.0,156.0,True,0.0,False,99.0,observed,180,established,False,False,False,False,False
2026-04-22,SKU-1000,Snacks,76.0,0,80.0,7,156.0,80.0,True,0.0,False,76.0,observed,180,established,False,False,False,False,False
2026-04-23,SKU-1000,Snacks,102.0,0,0.0,7,80.0,-22.0,False,-22.0,True,102.0,observed,180,established,False,False,False,True,False
2026-04-24,SKU-1000,Snacks,117.0,0,0.0,7,0.0,-117.0,False,-117.0,True,117.0,observed,180,established,False,False,False,True,False
2026-04-25,SKU-1000,Snacks,76.0,909,833.0,7,0.0,833.0,True,0.0,False,76.0,observed,180,established,False,False,False,False,False
2026-04-26,SKU-1000,Snacks,124.0,0,709.0,7,833.0,709.0,True,0.0,False,124.0,observed,180,established,False,False,False,False,False
2026-04-27,SKU-1000,Snacks,125.0,907,1491.0,7,709.0,1491.0,True,0.0,False,125.0,observed,180,established,False,False,False,False,False
2026-04-28,SKU-1000,Snacks,128.0,0,1363.0,7,1491.0,1363.0,True,0.0,False,128.0,observed,180,established,False,False,False,False,False
2026-04-29,SKU-1000,Snacks,42.0,0,1321.0,7,1363.0,1321.0,True,0.0,False,42.0,observed,180,established,False,False,False,False,False
2026-04-30,SKU-1000,Snacks,142.0,0,1179.0,7,1321.0,1179.0,True,0.0,False,142.0,observed,180,established,False,False,False,False,False
2026-05-01,SKU-1000,Snacks,101.0,0,1078.0,7,1179.0,1078.0,True,0.0,False,101.0,observed,180,established,False,False,False,False,False
2026-05-02,SKU-1000,Snacks,109.0,0,969.0,7,1078.0,969.0,True,0.0,False,109.0,observed,180,established,False,False,False,False,False
2026-05-03,SKU-1000,Snacks,80.0,0,889.0,7,969.0,889.0,True,0.0,False,80.0,observed,180,established,False,False,False,False,False
2026-05-04,SKU-1000,Snacks,149.0,0,740.0,7,889.0,740.0,True,0.0,False,149.0,observed,180,established,False,False,False,False,False
2026-05-05,SKU-1000,Snacks,89.0,0,651.0,7,740.0,651.0,True,0.0,False,89.0,observed,180,established,False,False,False,False,False
2026-05-06,SKU-1000,Snacks,108.0,892,1435.0,7,651.0,1435.0,True,0.0,False,108.0,observed,180,established,False,False,False,False,False
2026-05-07,SKU-1000,Snacks,102.0,0,1333.0,7,1435.0,1333.0,True,0.0,False,102.0,observed,180,established,False,False,False,False,False
2026-05-08,SKU-1000,Snacks,62.0,0,1271.0,7,1333.0,1271.0,True,0.0,False,62.0,observed,180,established,False,False,False,False,False
2026-05-09,SKU-1000,Snacks,86.0,0,1185.0,7,1271.0,1185.0,True,0.0,False,86.0,observed,180,established,False,False,False,False,False
2026-05-10,SKU-1000,Snacks,93.0,0,1092.0,7,1185.0,1092.0,True,0.0,False,93.0,observed,180,established,False,False,False,False,False
2026-05-11,SKU-1000,Snacks,112.0,0,980.0,7,1092.0,980.0,True,0.0,False,112.0,observed,180,established,False,False,False,False,False
2026-05-12,SKU-1000,Snacks,142.0,0,838.0,7,980.0,838.0,True,0.0,False,142.0,observed,180,established,False,False,False,False,False
2026-05-13,SKU-1000,Snacks,97.0,0,741.0,7,838.0,741.0,True,0.0,False,97.0,observed,180,established,False,False,False,False,False
2026-05-14,SKU-1000,Snacks,150.0,761,1352.0,7,741.0,1352.0,True,0.0,False,150.0,observed,180,established,False,False,False,False,False
2026-05-15,SKU-1000,Snacks,111.0,0,1241.0,7,1352.0,1241.0,True,0.0,False,111.0,observed,180,established,False,False,False,False,False
2026-05-16,SKU-1000,Snacks,90.0,0,1151.0,7,1241.0,1151.0,True,0.0,False,90.0,observed,180,established,False,False,False,False,False
2026-05-17,SKU-1000,Snacks,127.0,0,1024.0,7,1151.0,1024.0,True,0.0,False,127.0,observed,180,established,False,False,False,False,False
2026-05-18,SKU-1000,Snacks,130.0,0,894.0,7,1024.0,894.0,True,0.0,False,130.0,observed,180,established,False,False,False,False,False
2026-05-19,SKU-1000,Snacks,89.0,0,805.0,7,894.0,805.0,True,0.0,False,89.0,observed,180,established,False,False,False,False,False
2026-05-20,SKU-1000,Snacks,96.0,0,709.0,7,805.0,709.0,True,0.0,False,96.0,observed,180,established,False,False,False,False,False
2026-05-21,SKU-1000,Snacks,111.0,0,598.0,7,709.0,598.0,True,0.0,False,111.0,observed,180,established,False,False,False,False,False
2026-05-22,SKU-1000,Snacks,94.0,1055,1559.0,7,598.0,1559.0,True,0.0,False,94.0,observed,180,established,False,False,False,False,False
2026-05-23,SKU-1000,Snacks,88.0,0,1471.0,7,1559.0,1471.0,True,0.0,False,88.0,observed,180,established,False,False,False,False,False
2026-05-24,SKU-1000,Snacks,168.0,0,1303.0,7,1471.0,1303.0,True,0.0,False,168.0,observed,180,established,False,False,False,False,False
2026-05-25,SKU-1000,Snacks,115.0,0,1188.0,7,1303.0,1188.0,True,0.0,False,115.0,observed,180,established,False,False,False,False,False
2026-05-26,SKU-1000,Snacks,136.0,0,1052.0,7,1188.0,1052.0,True,0.0,False,136.0,observed,180,established,False,False,False,False,False
2026-05-27,SKU-1000,Snacks,122.0,0,930.0,7,1052.0,930.0,True,0.0,False,122.0,observed,180,established,False,False,False,False,False
2026-05-28,SKU-1000,Snacks,99.0,0,831.0,7,930.0,831.0,True,0.0,False,99.0,observed,180,established,False,False,False,False,False
2026-05-29,SKU-1000,Snacks,155.0,0,676.0,7,831.0,676.0,True,0.0,False,155.0,observed,180,established,False,False,False,False,False
2026-05-30,SKU-1000,Snacks,108.0,773,1341.0,7,676.0,1341.0,True,0.0,False,108.0,observed,180,established,False,False,False,False,False
2026-05-31,SKU-1000,Snacks,65.0,0,1276.0,7,1341.0,1276.0,True,0.0,False,65.0,observed,180,established,False,False,False,False,False
2026-06-01,SKU-1000,Snacks,141.0,0,1135.0,7,1276.0,1135.0,True,0.0,False,141.0,observed,180,established,False,False,False,False,False
2026-06-02,SKU-1000,Snacks,179.0,0,956.0,7,1135.0,956.0,True,0.0,False,179.0,observed,180,established,False,False,False,False,False
2026-06-03,SKU-1000,Snacks,84.0,0,872.0,7,956.0,872.0,True,0.0,False,84.0,observed,180,established,False,False,False,False,False
2026-06-04,SKU-1000,Snacks,139.0,0,733.0,7,872.0,733.0,True,0.0,False,139.0,observed,180,established,False,False,False,False,False
2026-06-05,SKU-1000,Snacks,99.0,0,634.0,7,733.0,,False,,False,,stock_balance_reconstructed,180,established,False,False,False,False,False
2026-06-06,SKU-1000,Snacks,70.0,0,564.0,7,634.0,564.0,True,0.0,False,70.0,observed,180,established,False,False,False,False,False
2026-06-07,SKU-1000,Snacks,70.0,880,1374.0,7,564.0,1374.0,True,0.0,False,70.0,observed,180,established,False,False,False,False,False
2026-06-08,SKU-1000,Snacks,92.0,0,1282.0,7,1374.0,1282.0,True,0.0,False,92.0,observed,180,established,False,False,False,False,False
2026-06-09,SKU-1000,Snacks,106.0,0,1176.0,7,1282.0,1176.0,True,0.0,False,106.0,observed,180,established,False,False,False,False,False
2026-06-10,SKU-1000,Snacks,120.0,0,1056.0,7,1176.0,1056.0,True,0.0,False,120.0,observed,180,established,False,False,False,False,False
2026-06-11,SKU-1000,Snacks,112.0,0,944.0,7,1056.0,944.0,True,0.0,False,112.0,observed,180,established,False,False,False,False,False
2026-06-12,SKU-1000,Snacks,152.0,0,792.0,7,944.0,792.0,True,0.0,False,152.0,observed,180,established,False,False,False,False,False
2026-06-13,SKU-1000,Snacks,109.0,0,683.0,7,792.0,683.0,True,0.0,False,109.0,observed,180,established,False,False,False,False,False
2026-06-14,SKU-1000,Snacks,115.0,0,568.0,7,683.0,568.0,True,0.0,False,115.0,observed,180,established,False,False,False,False,False
2026-06-15,SKU-1000,Snacks,126.0,0,442.0,7,568.0,442.0,True,0.0,False,126.0,observed,180,established,False,False,False,False,False
2026-06-16,SKU-1000,Snacks,121.0,0,321.0,7,442.0,321.0,True,0.0,False,121.0,observed,180,established,False,False,False,False,False
2026-06-17,SKU-1000,Snacks,78.0,0,243.0,7,321.0,243.0,True,0.0,False,78.0,observed,180,established,False,False,False,False,False
2026-06-18,SKU-1000,Snacks,148.0,0,95.0,7,243.0,95.0,True,0.0,False,148.0,observed,180,established,False,False,False,False,False
2026-06-19,SKU-1000,Snacks,72.0,0,23.0,7,95.0,23.0,True,0.0,False,72.0,observed,180,established,False,False,False,False,False
2026-06-20,SKU-1000,Snacks,64.0,944,903.0,7,23.0,903.0,True,0.0,False,64.0,observed,180,established,False,False,False,False,False
2026-06-21,SKU-1000,Snacks,74.0,0,829.0,7,903.0,829.0,True,0.0,False,74.0,observed,180,established,False,False,False,False,False
2026-06-22,SKU-1000,Snacks,103.0,0,726.0,7,829.0,726.0,True,0.0,False,103.0,observed,180,established,False,False,False,False,False
2026-06-23,SKU-1000,Snacks,50.0,0,676.0,7,726.0,676.0,True,0.0,False,50.0,observed,180,established,False,False,False,False,False
2026-06-24,SKU-1000,Snacks,59.0,0,617.0,7,676.0,617.0,True,0.0,False,59.0,observed,180,established,False,False,False,False,False
2026-06-25,SKU-1000,Snacks,136.0,0,,7,617.0,481.0,False,,False,136.0,observed,180,established,False,True,False,False,False
2026-06-26,SKU-1000,Snacks,60.0,0,421.0,7,,,False,,False,60.0,observed,180,established,False,False,False,False,False
2026-06-27,SKU-1000,Snacks,168.0,0,253.0,7,421.0,253.0,True,0.0,False,168.0,observed,180,established,False,False,False,False,False
2026-06-28,SKU-1000,Snacks,151.0,0,102.0,7,253.0,102.0,True,0.0,False,151.0,observed,180,established,False,False,False,False,False
2026-06-29,SKU-1000,Snacks,116.0,0,0.0,7,102.0,-14.0,False,-14.0,True,116.0,observed,180,established,False,False,False,True,False
2026-01-01,SKU-1001,Beverages,,0,3108.0,5,,,False,,False,,observed,180,established,False,False,False,False,False
2026-01-02,SKU-1001,Beverages,453.0,0,2655.0,5,3108.0,2655.0,True,0.0,False,453.0,observed,180,established,False,False,False,False,False
2026-01-03,SKU-1001,Beverages,340.0,0,2315.0,5,2655.0,2315.0,True,0.0,False,340.0,observed,180,established,False,False,False,False,False
2026-01-04,SKU-1001,Beverages,373.0,0,1942.0,5,2315.0,1942.0,True,0.0,False,373.0,observed,180,established,False,False,False,False,False
2026-01-05,SKU-1001,Beverages,445.0,0,1497.0,5,1942.0,1497.0,True,0.0,False,445.0,observed,180,established,False,False,False,False,False
2026-01-06,SKU-1001,Beverages,468.0,3067,4096.0,5,1497.0,4096.0,True,0.0,False,468.0,observed,180,established,False,False,False,False,False
2026-01-07,SKU-1001,Beverages,450.0,0,3646.0,5,4096.0,3646.0,True,0.0,False,450.0,observed,180,established,False,False,False,False,False
2026-01-08,SKU-1001,Beverages,435.0,0,3211.0,5,3646.0,3211.0,True,0.0,False,435.0,observed,180,established,False,False,False,False,False
2026-01-09,SKU-1001,Beverages,457.0,0,2754.0,5,3211.0,2754.0,True,0.0,False,457.0,observed,180,established,False,False,False,False,False
2026-01-10,SKU-1001,Beverages,393.0,0,2361.0,5,2754.0,2361.0,True,0.0,False,393.0,observed,180,established,False,False,False,False,False
2026-01-11,SKU-1001,Beverages,342.0,0,2019.0,5,2361.0,2019.0,True,0.0,False,342.0,observed,180,established,False,False,False,False,False
2026-01-12,SKU-1001,Beverages,424.0,0,1595.0,5,2019.0,1595.0,True,0.0,False,424.0,observed,180,established,False,False,False,False,False
2026-01-13,SKU-1001,Beverages,502.0,0,1093.0,5,1595.0,1093.0,True,0.0,False,502.0,observed,180,established,False,False,False,False,False
2026-01-14,SKU-1001,Beverages,475.0,3066,3684.0,5,1093.0,3684.0,True,0.0,False,475.0,observed,180,established,False,False,False,False,False
2026-01-15,SKU-1001,Beverages,479.0,0,3205.0,5,3684.0,3205.0,True,0.0,False,479.0,observed,180,established,False,False,False,False,False
2026-01-16,SKU-1001,Beverages,511.0,0,2694.0,5,3205.0,2694.0,True,0.0,False,511.0,observed,180,established,False,False,False,False,False
2026-01-17,SKU-1001,Beverages,436.0,0,2258.0,5,2694.0,2258.0,True,0.0,False,436.0,observed,180,established,False,False,False,False,False
2026-01-18,SKU-1001,Beverages,379.0,0,1879.0,5,2258.0,1879.0,True,0.0,False,379.0,observed,180,established,False,False,False,False,False
2026-01-19,SKU-1001,Beverages,479.0,2631,4031.0,5,1879.0,4031.0,True,0.0,False,479.0,observed,180,established,False,False,False,False,False
