sku_id,date,category,sku_type,current_stock,lead_time_days,planning_horizon_days,lead_time_range_days,forecast_daily_demand,forecast_lead_time_demand,uncertainty_daily,safety_buffer,coverage_days,expected_delivery_date,expected_receipt_qty,cadence_days,risk_state,days_to_projected_stockout,projected_unmet_units,minimum_projected_stock,drivers,recommendation,attention_priority,attention_score,data_quality_flags,forecast_method,attention_rank
SKU-1008,2026-06-29,Sugar,established,292.0,5,5,5–5 days,91.47974169303912,457.3987084651957,17.662735411657568,19.747538524529528,3.191963538548326,2026-07-02,498.0,6.0,Watch,8.0,12.48887519094339,-12.48887519094339,"[{""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 12.48887519094339, ""unit"": ""units"", ""evidence"": ""12 units short""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 3.191963538548326, ""unit"": ""days"", ""evidence"": ""3.2d cover vs 5d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 17.662735411657568, ""unit"": ""units/day"", ""evidence"": ""Demand variability 17.7 units/day""}]",Monitor closely and investigate replenishment timing.,P2,12.5,"[""lead_time_inconsistent""]",Pooled LightGBM,11
SKU-1018,2026-06-29,Flour,established,3476.0,14,14,14–14 days,288.24015888961173,4035.362224454564,80.63773585886725,150.8593900145283,12.05938830102857,2026-07-11,5997.0,21.0,Watch,11.0,0.0,-138.14929500949893,"[{""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 12.05938830102857, ""unit"": ""days"", ""evidence"": ""12.1d cover vs 14d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 80.63773585886725, ""unit"": ""units/day"", ""evidence"": ""Demand variability 80.6 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-11"", ""unit"": null, ""evidence"": ""Delivery 11 Jul protects the projected stockout gap""}]",Monitor closely and investigate replenishment timing.,P2,9.090909090909092,"[""lead_time_inconsistent""]",Pooled LightGBM,12
SKU-1013,2026-06-29,Pasta,established,4395.0,10,10,10–10 days,520.9977990059721,5209.9779900597205,62.82010091813829,99.32730087147591,8.435736213061471,2026-07-05,5032.0,11.5,Watch,,0.0,1632.960752674794,"[{""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 8.435736213061471, ""unit"": ""days"", ""evidence"": ""8.4d cover vs 10d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 62.82010091813829, ""unit"": ""units/day"", ""evidence"": ""Demand variability 62.8 units/day""}]",Monitor closely and investigate replenishment timing.,P2,0.0,"[""lead_time_inconsistent""]",Pooled LightGBM,13
SKU-1020,2026-06-29,Pasta,established,5757.0,14,14,14–14 days,437.9438785349615,6131.214299489461,152.99138890592857,286.22068020633617,13.145519967669586,2026-07-03,6581.0,15.0,Watch,,0.0,3592.52725920526,"[{""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 13.145519967669586, ""unit"": ""days"", ""evidence"": ""13.1d cover vs 14d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 152.99138890592857, ""unit"": ""units/day"", ""evidence"": ""Demand variability 153.0 units/day""}]",Monitor closely and investigate replenishment timing.,P2,0.0,"[""lead_time_inconsistent""]",Pooled LightGBM,14
SKU-1012,2026-06-29,Beverages,established,10771.0,14,14,14–14 days,446.95729239679406,6257.402093555117,44.47923241696192,83.21302426548026,24.098499304577537,2026-07-08,7690.0,15.0,Overstock,,0.0,7017.424731157796,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 44.47923241696192, ""unit"": ""units/day"", ""evidence"": ""Demand variability 44.5 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 7017.424731157796, ""unit"": ""units"", ""evidence"": ""24.1d cover vs 14d lead time; 7,017 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,7017.424731157796,"[""lead_time_inconsistent""]",Pooled LightGBM,15
SKU-1006,2026-06-29,Sugar,established,10779.0,10,10,10–10 days,469.56733400338845,4695.673340033884,127.12608310370852,201.0039863117832,22.955174305038472,2026-07-10,6184.0,13.0,Overstock,,0.0,5447.69624444757,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 127.12608310370852, ""unit"": ""units/day"", ""evidence"": ""Demand variability 127.1 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 5447.69624444757, ""unit"": ""units"", ""evidence"": ""23.0d cover vs 10d lead time; 5,448 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,5447.69624444757,"[""lead_time_inconsistent""]",Pooled LightGBM,16
SKU-1009,2026-06-29,Beverages,established,9874.0,14,14,14–14 days,390.31544879697793,5464.416283157691,107.00670008197552,200.19120489801367,25.29748702090433,2026-07-15,6141.0,16.0,Overstock,,0.0,3216.718017430514,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 107.00670008197552, ""unit"": ""units/day"", ""evidence"": ""Demand variability 107.0 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 3216.718017430514, ""unit"": ""units"", ""evidence"": ""25.3d cover vs 14d lead time; 3,217 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,3216.718017430514,"[""lead_time_inconsistent""]",Pooled LightGBM,17
SKU-1003,2026-06-29,Beverages,established,3047.0,7,7,7–7 days,198.890478116746,1392.233346817222,46.0059232441321,60.86011586994972,15.3199893169921,2026-07-07,1802.0,9.0,Overstock,,0.0,1493.7459218283157,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 46.0059232441321, ""unit"": ""units/day"", ""evidence"": ""Demand variability 46.0 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 1493.7459218283157, ""unit"": ""units"", ""evidence"": ""15.3d cover vs 7d lead time; 1,494 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,1493.7459218283157,"[""lead_time_inconsistent""]",Pooled LightGBM,18
SKU-1024,2026-06-29,Flour,established,3289.0,7,7,7–7 days,247.8617774246924,1735.0324419728468,105.84491875095765,140.01966627743562,13.269492513823732,2026-07-06,2497.0,9.0,Overstock,,0.0,1484.2945791989732,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 105.84491875095765, ""unit"": ""units/day"", ""evidence"": ""Demand variability 105.8 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 1484.2945791989732, ""unit"": ""units"", ""evidence"": ""13.3d cover vs 7d lead time; 1,484 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,1484.2945791989732,"[""lead_time_inconsistent""]",Pooled LightGBM,19
SKU-1004,2026-06-29,Beverages,established,2895.0,7,7,7–7 days,161.68164279571414,1131.771499569999,33.478631738301125,44.28806690712941,17.905557798282963,2026-07-09,1474.0,10.0,Overstock,,0.0,1289.2113720162172,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 33.478631738301125, ""unit"": ""units/day"", ""evidence"": ""Demand variability 33.5 units/day""}, {""driver_type"": ""excess_projected_stock"", ""label"": ""Excess projected stock"", ""value"": 1289.2113720162172, ""unit"": ""units"", ""evidence"": ""17.9d cover vs 7d lead time; 1,289 units projected at minimum""}]",Investigate excess inventory before the next replenishment.,P3,1289.2113720162172,"[""lead_time_inconsistent""]",Pooled LightGBM,20
