sku_id,date,current_stock,lead_time_days,forecast_daily_demand,forecast_lead_time_demand,uncertainty_daily,safety_buffer,coverage_days,expected_delivery_date,expected_receipt_qty,cadence_days,risk_state,days_to_projected_stockout,projected_unmet_units,minimum_projected_stock,drivers,recommendation,forecast_method,forecast_lead_time_demand_model
SKU-1010,2026-06-29,112.0,3,202.14878487596044,606.4463546278813,48.26441446556359,41.79820902595921,0.5540473570925681,2026-06-30,694.0,5.0,Watch,4.0,777.9669447611956,-777.9669447611956,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,606.4463546278813
SKU-1011,2026-06-29,3373.0,14,188.65473302405127,2641.166262336718,71.47207802007674,133.71201433595178,17.879222778736125,2026-07-09,3707.0,19.0,Healthy,,0.0,1353.4830516931943,"['High forecast demand', 'Forecast uncertainty']",No immediate action indicated.,Pooled LightGBM,2641.166262336718
SKU-1012,2026-06-29,10771.0,14,446.95729239679406,6257.402093555117,44.47923241696192,83.21302426548026,24.098499304577537,2026-07-08,7690.0,15.0,Overstock,,0.0,7017.424731157796,"['High forecast demand', 'Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,6257.402093555117
SKU-1013,2026-06-29,4395.0,10,520.9977990059721,5209.9779900597205,62.82010091813829,99.32730087147591,8.435736213061471,2026-07-05,5032.0,11.5,Watch,,0.0,1632.960752674794,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,5209.9779900597205
SKU-1014,2026-06-29,1120.0,7,227.21787921881327,1590.5251545316928,80.19074482479606,106.0823841277251,4.92918956840288,2026-07-08,2618.0,9.0,Watch,5.0,0.0,-1018.5060130496904,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty', 'Expected delivery timing', 'Increasing demand']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,1590.5251545316928
SKU-1015,2026-06-29,2957.0,7,368.6187523784805,2580.3312666493634,76.00079190620562,100.53959741389532,8.021838229661986,2026-07-02,2972.0,8.0,Healthy,,0.0,1862.8085166841665,"['High forecast demand', 'Forecast uncertainty']",No immediate action indicated.,Pooled LightGBM,2580.3312666493634
SKU-1016,2026-06-29,4620.0,14,265.69617648663797,3719.7464708129314,90.22466813871216,168.79489800521992,17.388281837892173,2026-07-12,4431.0,15.0,Healthy,,0.0,890.2978733280723,['Forecast uncertainty'],No immediate action indicated.,Pooled LightGBM,3719.746470812932
SKU-1018,2026-06-29,3476.0,14,288.24015888961173,4035.362224454564,80.63773585886725,150.8593900145283,12.05938830102857,2026-07-11,5997.0,21.0,Watch,11.0,0.0,-138.14929500949893,"['Short stock coverage', 'Forecast uncertainty', 'Expected delivery timing']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,4035.362224454564
SKU-1019,2026-06-29,8732.0,14,557.048624936422,7798.680749109908,150.11313194038814,280.8359544882623,15.675471779499707,2026-07-07,8017.0,16.0,Healthy,,0.0,4307.263663653685,['Forecast uncertainty'],No immediate action indicated.,Pooled LightGBM,7798.680749109909
SKU-1020,2026-06-29,5757.0,14,437.9438785349615,6131.214299489461,152.99138890592855,286.22068020633617,13.145519967669586,2026-07-03,6581.0,15.0,Watch,,0.0,3592.52725920526,"['Short stock coverage', 'Forecast uncertainty']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,6131.214299489461
SKU-1021,2026-06-29,6481.0,10,414.8294786582411,4148.294786582411,90.41509215218933,142.95881302746685,15.623286997256521,2026-07-08,4459.0,9.0,Healthy,,0.0,2800.7038021253115,"['High forecast demand', 'Forecast uncertainty']",No immediate action indicated.,Pooled LightGBM,4148.294786582411
SKU-1022,2026-06-29,235.0,3,206.2682588397081,618.8047765191243,42.99950781064444,37.23866611424547,1.1392930803891619,2026-07-02,628.0,3.0,Critical,2.0,731.3760892152122,-731.3760892152122,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty', 'Expected delivery timing']",Review replenishment and consider expediting.,Pooled LightGBM,618.8047765191243
SKU-1023,2026-06-29,1325.0,7,207.22408132032302,1450.5685692422612,46.50925833757308,61.52596561163786,6.394044512383869,2026-07-06,1892.0,8.0,Watch,6.0,0.0,-57.87226293465727,"['Short stock coverage', 'Forecast uncertainty', 'Expected delivery timing']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,1450.5685692422612
SKU-1024,2026-06-29,3289.0,7,247.8617774246924,1735.0324419728468,105.84491875095763,140.01966627743562,13.269492513823732,2026-07-06,2497.0,9.0,Overstock,,0.0,1484.2945791989732,"['Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,1735.0324419728468
